TransactionID,Sender,Receiver,Country,Currency,Amount,PaymentMethod,Status,Timestamp
93394a85-08b6-4cfd-ac43-2a69db185932,Grace,Ivan,India,EUR,???,Bank Transfer,Completed,04-15-2025 02:54:52
c6c08116-eb71-4205-9e11-220142289d03,Alice,Eve,Germany,EUR,2752.97,PayPal Balance,Completed,06/01/2025
140324a8-1701-4cd5-9736-49c39b9386f0,Ivan,Hannah,Canada,EUR,4268.67,,Failed,04-29-2022 08:54:27
63b0ad82-c4b2-48d1-88fe-181577294607,Alice,Frank,USA,INR,1938.1,,Completed,2023-12-03
e464e970-631d-450f-a9bb-aa8950cafdc5,David,,India,INR,4944.68,Crypto,Reversed,30/05/2024
f3a34538-9f86-4a10-8c04-2d35c098356d,Hannah,Alice,Canada,EUR,1350.29,PayPal Balance,Completed,06/11/2024
,Hannah,Jack,USA,EUR,2356.36,Debit Card,Failed,2024-05-16
21a8910f,Grace,Alice,Germany,EUR,2357.32,Crypto,Failed,19/06/2023
22985cd1-20db-45b0-a80d-68c32ff1bfa3,Bob,Ivan,USA,USD,4818.68,Credit Card,Failed,2023-11-24
70d4a60e-b532-4aef-93f0-b34492598859,jack,Grace,UK,INR,1218.53,Debit Card,Failed,13/02/2025
dcb4d5d4-fc3b-4cfb-8667-9c37b0634a2b,Eve,Jack,,EUR,2328.51,Bank Transfer,Completed,2023-07-17
2609a33c-4c70-4d02-9cf4-ccf5b8f8cde5,Eve,Hannah,Australia,EUR,4490.34,Bank Transfer,Completed,03-21-2025 19:25:40
f768752d-0fef-4d19-b303-243ed8e1bcfd,bob,Ivan,USA,EUR,746.5,Debit Card,Reversed,2025-08-29
178bec6a-082b-452d-ba88-bb686600bf52,Eve,Charlie,Canada,EUR,3792.52,PayPal Balance,Failed,03-27-2023 19:24:46
d11de53a-dba2-4bb8-b6bd-da511215483b,grace,Charlie,India,INR,208.39,Crypto,Completed,2024-11-05
07489d00-722b-4fd1-8eda-7ebe557ab14f,Grace,David,Canada,INR,4997.3,Debit Card,Reversed,2024-06-29
